date,Negative,Positive,Total,Date
2020-03-10,1,2,3,2020-03-10
2020-03-11,1,0,1,2020-03-11
2020-03-12,13,11,24,2020-03-12
2020-03-13,8,13,21,2020-03-13
2020-03-14,18,9,27,2020-03-14
2020-03-15,12,21,33,2020-03-15
2020-03-16,140,16,156,2020-03-16
2020-03-17,686,149,835,2020-03-17
2020-03-18,599,153,752,2020-03-18
2020-03-19,573,165,738,2020-03-19
2020-03-20,990,265,1255,2020-03-20
2020-03-21,1045,313,1358,2020-03-21
2020-03-22,705,315,1020,2020-03-22
2020-03-23,1055,397,1452,2020-03-23
2020-03-24,1142,538,1680,2020-03-24
2020-03-25,1853,573,2426,2020-03-25
2020-03-26,2888,927,3815,2020-03-26
2020-03-27,2409,1125,3534,2020-03-27
2020-03-28,1761,1025,2786,2020-03-28
2020-03-29,1515,877,2392,2020-03-29
2020-03-30,5845,2014,7859,2020-03-30
2020-03-31,3071,1811,4882,2020-03-31
2020-04-01,3616,2515,6131,2020-04-01
2020-04-02,3492,2413,5905,2020-04-02
2020-04-03,3617,2382,5999,2020-04-03
2020-04-04,4145,2963,7108,2020-04-04
2020-04-05,2948,1898,4846,2020-04-05
2020-04-06,3109,2116,5225,2020-04-06
2020-04-07,3081,1769,4850,2020-04-07
2020-04-08,2832,1214,4046,2020-04-08
2020-04-09,3252,1529,4781,2020-04-09
2020-04-10,3167,1410,4577,2020-04-10
2020-04-11,2644,1103,3747,2020-04-11
2020-04-12,2311,968,3279,2020-04-12
2020-04-13,2505,1077,3582,2020-04-13
2020-04-14,3612,1386,4998,2020-04-14
2020-04-15,3152,1418,4570,2020-04-15
2020-04-16,4442,1227,5669,2020-04-16
2020-04-17,4992,1067,6059,2020-04-17
2020-04-18,3842,1020,4862,2020-04-18
2020-04-19,2643,636,3279,2020-04-19
2020-04-20,3634,891,4525,2020-04-20
2020-04-21,6265,1334,7599,2020-04-21
2020-04-22,6984,1355,8339,2020-04-22
2020-04-23,8346,1345,9691,2020-04-23
2020-04-24,8048,1038,9086,2020-04-24
2020-04-25,5900,816,6716,2020-04-25
2020-04-26,5468,616,6084,2020-04-26
2020-04-27,6538,857,7395,2020-04-27
2020-04-28,7930,1109,9039,2020-04-28
2020-04-29,9456,1182,10638,2020-04-29
2020-04-30,10568,1148,11716,2020-04-30
2020-05-01,9850,1079,10929,2020-05-01
2020-05-02,9881,932,10813,2020-05-02
2020-05-03,6645,574,7219,2020-05-03
2020-05-04,7294,631,7925,2020-05-04
2020-05-05,10415,996,11411,2020-05-05
2020-05-06,11463,1021,12484,2020-05-06
2020-05-07,11378,941,12319,2020-05-07
2020-05-08,11059,826,11885,2020-05-08
2020-05-09,10061,756,10817,2020-05-09
2020-05-10,7533,500,8033,2020-05-10
2020-05-11,10564,632,11196,2020-05-11
2020-05-12,11392,658,12050,2020-05-12
2020-05-13,16769,989,17758,2020-05-13
2020-05-14,15547,1245,16792,2020-05-14
2020-05-15,14343,786,15129,2020-05-15
2020-05-16,10344,612,10956,2020-05-16
2020-05-17,8744,501,9245,2020-05-17
2020-05-18,11641,766,12407,2020-05-18
2020-05-19,15126,856,15982,2020-05-19
2020-05-20,12855,601,13456,2020-05-20
2020-05-21,13468,687,14155,2020-05-21
2020-05-22,17120,819,17939,2020-05-22
2020-05-23,11788,581,12369,2020-05-23
2020-05-24,9193,382,9575,2020-05-24
2020-05-25,7558,319,7877,2020-05-25
2020-05-26,10512,390,10902,2020-05-26
2020-05-27,12950,568,13518,2020-05-27
2020-05-28,14897,750,15647,2020-05-28
2020-05-29,14805,853,15658,2020-05-29
2020-05-30,13715,449,14164,2020-05-30
2020-05-31,12041,245,12286,2020-05-31
2020-06-01,13994,355,14349,2020-06-01
2020-06-02,15068,409,15477,2020-06-02
2020-06-03,15297,466,15763,2020-06-03
2020-06-04,14199,335,14534,2020-06-04
2020-06-05,11952,286,12238,2020-06-05
2020-06-06,9955,221,10176,2020-06-06
2020-06-07,9840,174,10014,2020-06-07
2020-06-08,12898,225,13123,2020-06-08
2020-06-09,17138,329,17467,2020-06-09
2020-06-10,14917,342,15259,2020-06-10
2020-06-11,13485,253,13738,2020-06-11
2020-06-12,13008,277,13285,2020-06-12
2020-06-13,13326,330,13656,2020-06-13
2020-06-14,9730,179,9909,2020-06-14
2020-06-15,11648,291,11939,2020-06-15
